,Credit_History,Property_Area,Gender_Male,Married_Yes,Loan_Status_Y
0,1.0,2,1,0,1
1,1.0,0,1,1,0
2,1.0,2,1,1,1
3,1.0,2,1,1,1
4,1.0,2,1,0,1
5,1.0,2,1,1,1
6,1.0,2,1,1,1
7,0.0,1,1,1,0
8,1.0,2,1,1,1
9,1.0,1,1,1,0
10,1.0,2,1,1,1
12,1.0,2,1,1,1
13,1.0,0,1,0,0
14,1.0,2,1,1,1
15,1.0,2,1,0,1
17,0.0,2,0,0,0
18,1.0,0,1,1,0
20,0.0,2,1,1,0
21,1.0,2,1,1,1
22,0.0,1,1,1,0
25,1.0,1,1,1,1
26,1.0,1,1,1,1
27,1.0,2,1,1,1
28,1.0,2,1,0,0
31,1.0,2,1,0,0
32,1.0,0,1,0,0
33,1.0,1,1,1,1
34,1.0,0,1,0,0
35,1.0,2,1,1,1
36,0.0,2,1,1,0
37,1.0,1,0,1,1
38,1.0,2,1,0,1
39,1.0,1,1,0,1
40,1.0,2,1,0,0
41,1.0,2,1,0,1
43,1.0,1,1,1,1
44,1.0,2,1,1,1
45,1.0,2,0,0,1
46,1.0,2,1,1,1
47,1.0,2,1,1,1
48,0.0,2,0,1,0
49,1.0,1,0,0,1
50,1.0,1,0,1,1
51,1.0,1,0,0,1
52,1.0,1,0,0,0
53,1.0,2,1,1,0
54,0.0,2,0,1,0
55,1.0,1,1,1,1
56,1.0,1,1,1,1
57,1.0,0,1,1,0
58,1.0,2,1,1,1
59,1.0,2,1,1,1
60,1.0,2,1,1,1
61,1.0,2,1,1,1
62,0.0,0,1,1,0
63,0.0,0,1,1,0
64,0.0,1,0,0,0
65,1.0,1,1,1,0
66,0.0,2,1,0,0
67,1.0,2,1,1,1
68,1.0,2,1,1,1
69,0.0,1,0,0,0
70,1.0,2,1,1,1
71,1.0,1,1,1,1
72,1.0,1,1,0,1
73,0.0,1,1,1,0
74,1.0,1,1,1,1
75,1.0,2,1,0,0
76,1.0,2,1,0,0
77,1.0,2,1,1,0
78,0.0,1,1,1,0
80,1.0,1,0,0,1
81,1.0,1,1,1,1
82,1.0,2,0,1,0
84,1.0,2,1,1,1
85,1.0,1,1,0,1
87,1.0,1,1,1,1
88,1.0,2,1,0,1
89,1.0,1,1,1,1
90,1.0,1,1,1,1
91,1.0,1,1,1,1
92,1.0,2,1,1,1
93,1.0,1,1,0,1
94,1.0,1,1,0,1
96,1.0,1,0,1,1
97,1.0,1,1,1,1
98,1.0,1,1,1,1
99,1.0,1,1,1,1
100,1.0,2,1,1,1
101,1.0,1,1,0,1
103,1.0,1,1,1,1
105,1.0,2,1,1,1
106,1.0,2,1,1,1
108,0.0,2,1,1,0
109,1.0,1,1,1,1
110,1.0,2,1,0,1
112,0.0,0,1,1,0
113,1.0,1,0,0,1
115,1.0,0,1,1,1
116,1.0,1,0,1,1
118,1.0,0,1,1,0
119,1.0,2,0,0,1
121,1.0,1,0,0,1
122,0.0,1,0,0,1
123,1.0,1,1,1,1
124,1.0,0,1,1,1
127,1.0,0,1,0,1
128,0.0,2,1,1,0
131,1.0,2,1,0,1
132,1.0,1,1,0,1
133,1.0,1,1,1,1
134,1.0,1,1,0,1
135,1.0,1,1,1,0
136,1.0,0,0,1,0
137,1.0,2,1,1,1
138,0.0,1,1,0,0
139,1.0,0,1,1,0
140,1.0,0,1,1,0
141,1.0,2,1,0,1
142,1.0,1,1,0,1
143,1.0,1,1,1,1
144,1.0,2,1,1,1
145,1.0,1,0,1,1
146,1.0,2,0,1,1
147,1.0,2,1,1,1
148,1.0,0,0,0,0
149,1.0,1,1,1,1
150,0.0,0,1,0,0
151,1.0,0,1,1,1
152,1.0,2,1,0,0
153,1.0,0,1,1,0
154,1.0,2,1,0,1
155,0.0,1,1,1,1
157,1.0,2,1,1,1
159,1.0,1,1,1,1
160,1.0,1,1,1,1
161,1.0,2,1,1,0
162,0.0,1,1,1,0
163,1.0,0,1,1,1
164,1.0,2,1,1,1
165,1.0,0,1,1,1
166,1.0,0,0,1,0
167,1.0,0,1,1,1
168,0.0,1,1,0,0
169,1.0,1,1,1,1
172,1.0,0,1,1,0
173,1.0,1,1,1,1
174,1.0,1,1,1,0
175,1.0,0,1,1,1
176,1.0,0,1,1,1
177,0.0,1,1,1,0
178,1.0,1,1,1,1
179,0.0,2,1,0,0
180,0.0,2,1,1,0
182,1.0,1,1,1,1
183,1.0,1,1,1,0
184,1.0,1,0,1,1
185,1.0,1,1,1,1
186,0.0,0,1,1,0
189,1.0,0,1,1,1
190,1.0,0,1,0,1
191,1.0,1,1,0,0
192,1.0,2,1,1,0
193,1.0,1,1,0,1
194,1.0,0,1,0,1
195,1.0,1,1,1,0
196,1.0,0,1,0,1
197,1.0,2,0,0,1
199,1.0,2,1,0,0
200,1.0,1,1,1,1
201,0.0,1,1,0,1
202,1.0,2,1,1,0
203,1.0,2,1,1,1
204,1.0,1,1,1,1
205,1.0,1,0,0,1
206,1.0,2,0,0,1
207,1.0,0,1,0,1
208,1.0,2,1,0,1
209,1.0,1,1,0,0
210,1.0,1,0,0,0
211,0.0,1,1,1,0
212,1.0,2,1,1,1
213,1.0,0,1,1,1
214,1.0,2,1,1,1
215,1.0,1,1,1,1
216,1.0,0,1,1,0
217,1.0,1,1,1,1
220,0.0,2,1,1,0
221,1.0,1,1,1,1
222,1.0,1,1,0,1
223,1.0,1,1,1,1
224,1.0,1,1,1,1
225,1.0,0,1,1,0
227,1.0,1,1,1,1
229,1.0,0,1,0,1
230,1.0,1,1,1,1
232,1.0,0,1,0,1
233,1.0,1,0,0,1
234,1.0,1,1,1,1
235,1.0,0,1,1,1
238,1.0,0,0,0,1
239,1.0,1,1,1,1
240,1.0,0,1,1,1
241,1.0,2,1,1,0
242,1.0,2,1,0,1
243,1.0,0,1,1,1
244,1.0,1,1,1,1
245,1.0,2,1,0,0
246,1.0,2,1,1,1
247,1.0,2,1,1,1
248,1.0,1,1,1,1
249,1.0,2,1,1,1
250,0.0,1,1,1,0
251,1.0,2,0,0,0
252,1.0,0,1,0,1
253,1.0,1,1,1,1
254,0.0,2,1,0,0
255,1.0,0,0,0,1
256,0.0,0,1,0,0
257,1.0,2,1,1,0
258,1.0,0,1,1,0
261,1.0,1,1,0,1
262,1.0,1,0,0,0
263,1.0,0,0,0,1
264,1.0,1,1,0,1
265,1.0,0,1,0,1
266,1.0,1,1,1,1
267,0.0,2,1,1,1
269,1.0,2,0,0,1
270,1.0,2,0,0,1
271,1.0,2,1,1,1
272,1.0,0,1,0,1
273,1.0,1,1,1,1
274,1.0,1,1,1,1
275,1.0,1,1,1,1
276,1.0,1,1,1,1
277,1.0,2,1,1,1
278,1.0,1,1,1,1
280,0.0,2,1,0,0
281,1.0,1,1,1,1
282,1.0,2,1,1,1
283,1.0,2,0,0,1
284,1.0,0,1,1,0
285,1.0,0,1,0,1
286,1.0,1,0,0,0
287,1.0,0,1,1,1
288,1.0,1,0,0,1
289,1.0,0,1,0,1
290,1.0,0,1,1,1
291,0.0,1,1,1,0
292,1.0,2,1,1,1
294,1.0,1,1,1,1
296,1.0,1,1,1,1
297,1.0,2,0,1,1
298,1.0,0,0,0,0
299,1.0,2,1,1,0
300,0.0,2,1,1,0
302,1.0,0,0,0,1
303,1.0,2,1,1,1
304,1.0,0,1,0,1
305,1.0,2,1,0,0
306,1.0,0,0,0,1
307,0.0,2,0,0,0
308,1.0,0,1,0,0
310,1.0,1,0,0,1
311,1.0,1,1,0,1
312,1.0,0,0,0,1
315,1.0,2,1,1,1
316,1.0,1,1,1,1
319,1.0,0,1,1,0
320,1.0,1,1,1,1
321,1.0,1,1,1,1
322,1.0,0,1,1,1
324,1.0,0,1,1,1
325,0.0,0,1,1,0
326,0.0,0,1,0,1
327,1.0,1,1,1,1
328,1.0,2,0,1,0
329,1.0,2,0,0,1
330,1.0,2,1,0,1
331,1.0,1,1,0,1
337,1.0,0,1,1,1
338,0.0,2,0,0,0
339,1.0,1,0,0,1
340,1.0,0,1,1,0
341,1.0,0,0,0,0
342,1.0,2,1,1,1
343,1.0,1,1,1,1
345,1.0,1,1,1,1
347,1.0,2,1,1,1
349,1.0,0,1,1,1
350,1.0,1,1,1,1
351,1.0,0,1,0,0
352,1.0,0,1,1,1
353,0.0,0,0,1,0
354,1.0,1,0,1,1
356,1.0,0,1,1,1
357,1.0,2,1,1,0
358,0.0,2,1,1,0
359,1.0,1,1,1,1
360,1.0,1,0,0,0
361,1.0,1,1,1,1
362,1.0,2,1,1,1
364,1.0,0,1,0,1
365,1.0,0,1,0,0
366,1.0,1,1,0,0
367,0.0,0,1,0,0
368,1.0,1,1,1,1
369,1.0,0,1,1,0
370,1.0,1,0,0,1
371,1.0,1,1,1,1
372,1.0,0,1,1,1
373,0.0,2,1,0,0
375,1.0,2,1,1,1
376,1.0,0,1,1,1
378,1.0,2,1,0,0
379,1.0,2,1,1,1
381,1.0,1,1,0,1
382,1.0,2,0,0,1
383,1.0,2,1,0,1
384,1.0,2,1,1,0
386,1.0,1,1,0,1
387,0.0,2,1,1,0
388,1.0,2,1,1,1
389,1.0,0,1,1,1
390,1.0,0,1,0,1
391,1.0,0,1,1,1
393,1.0,1,1,1,1
394,1.0,2,1,1,1
396,0.0,2,0,0,0
397,1.0,2,1,1,1
398,1.0,0,1,0,1
399,0.0,1,0,0,0
400,0.0,2,1,1,0
401,1.0,0,1,0,0
402,1.0,1,1,0,1
403,1.0,1,0,0,1
404,1.0,0,0,0,0
405,1.0,1,0,0,1
406,1.0,2,1,1,1
407,1.0,0,0,0,1
408,0.0,1,1,1,0
409,0.0,0,1,1,0
410,1.0,1,0,0,0
412,0.0,0,1,1,0
413,1.0,0,1,1,1
414,0.0,1,0,1,0
415,1.0,2,0,0,1
416,1.0,2,0,0,0
417,1.0,2,1,1,0
418,1.0,0,1,1,1
419,1.0,1,1,1,1
420,1.0,0,1,1,1
421,0.0,2,0,0,0
422,1.0,2,1,1,1
423,0.0,2,1,1,0
424,1.0,1,1,1,1
425,1.0,0,1,1,1
426,1.0,0,0,0,0
427,1.0,1,1,1,1
428,1.0,0,1,1,1
429,1.0,2,1,0,1
430,1.0,1,0,0,1
431,0.0,0,1,0,0
433,1.0,1,1,1,1
434,1.0,2,1,0,1
436,1.0,1,1,0,1
437,1.0,2,1,1,1
438,0.0,2,1,0,0
439,1.0,0,0,1,1
440,1.0,1,1,0,1
441,1.0,0,1,1,1
442,1.0,1,1,0,1
443,1.0,1,1,0,1
445,1.0,0,1,1,1
446,1.0,0,1,1,1
448,0.0,0,1,1,0
450,0.0,0,1,1,0
452,0.0,0,1,1,0
453,0.0,0,1,1,1
454,1.0,1,1,0,1
455,1.0,1,1,1,1
456,1.0,2,1,1,1
457,1.0,2,1,1,0
458,1.0,0,1,0,1
459,1.0,1,1,1,0
461,1.0,2,1,1,1
462,1.0,0,1,1,1
464,0.0,1,1,0,0
465,1.0,0,1,0,1
466,0.0,2,1,1,0
469,1.0,2,1,1,0
470,1.0,1,1,1,1
471,0.0,0,1,1,0
472,1.0,1,1,1,1
474,1.0,0,1,0,1
475,1.0,0,1,1,1
476,1.0,1,1,1,1
478,1.0,1,1,1,1
479,1.0,2,1,1,0
480,1.0,0,0,0,1
481,1.0,0,1,1,1
482,1.0,1,1,1,1
483,1.0,1,1,1,1
484,1.0,1,1,1,1
485,1.0,0,1,1,1
486,0.0,0,1,0,0
487,1.0,2,1,1,0
488,1.0,1,1,1,1
489,1.0,2,1,0,0
492,1.0,0,1,0,1
493,1.0,1,0,0,1
494,0.0,0,1,1,0
495,1.0,1,0,1,1
496,1.0,0,1,1,1
498,1.0,1,1,1,1
499,0.0,0,1,0,0
500,1.0,0,0,0,1
501,1.0,1,0,0,1
502,1.0,1,1,1,1
504,1.0,1,1,1,1
505,1.0,0,1,1,1
508,1.0,2,1,1,1
509,1.0,2,0,0,1
510,1.0,0,1,0,0
511,1.0,1,1,1,1
512,1.0,2,1,1,1
513,1.0,1,1,1,0
514,1.0,0,1,0,0
515,1.0,0,1,1,1
516,1.0,1,0,1,1
518,1.0,1,1,0,0
519,1.0,0,0,0,0
520,1.0,1,1,1,1
521,1.0,1,1,0,1
522,1.0,0,1,1,1
523,1.0,0,1,1,1
524,1.0,1,1,0,0
525,1.0,0,1,1,1
526,1.0,1,1,1,1
527,0.0,1,1,1,1
528,1.0,1,1,0,1
529,1.0,1,1,0,1
531,1.0,2,1,1,1
532,0.0,0,1,0,0
534,1.0,2,0,0,1
536,1.0,2,1,1,1
537,1.0,1,1,0,1
538,1.0,0,1,1,0
539,1.0,0,1,1,1
540,1.0,1,0,1,1
541,0.0,1,0,0,0
543,1.0,2,1,1,1
545,1.0,0,1,1,1
546,1.0,1,1,0,0
547,1.0,0,1,0,1
548,0.0,1,0,0,0
549,1.0,0,1,1,1
550,0.0,0,1,1,0
551,1.0,0,1,1,1
552,1.0,2,1,1,1
553,0.0,2,1,1,0
554,0.0,0,1,1,0
555,1.0,1,1,1,1
557,1.0,1,1,1,1
558,1.0,1,1,1,1
559,1.0,1,0,1,1
560,1.0,1,1,1,1
561,1.0,1,0,1,1
562,1.0,0,1,1,1
563,1.0,1,1,0,1
564,0.0,2,1,1,0
566,1.0,2,1,0,1
567,0.0,0,1,1,0
568,1.0,2,0,0,0
569,0.0,2,1,1,0
570,1.0,2,1,1,1
572,1.0,2,1,1,1
573,1.0,1,1,1,0
574,1.0,1,1,1,0
575,1.0,2,1,1,1
577,1.0,2,1,0,1
578,1.0,0,1,1,1
580,1.0,1,1,1,1
581,1.0,2,1,0,0
582,1.0,1,0,1,1
584,0.0,0,1,1,0
585,1.0,0,1,1,0
586,1.0,2,1,1,1
587,1.0,1,0,0,1
589,0.0,1,1,1,0
590,1.0,1,1,1,1
591,1.0,1,1,1,0
593,1.0,0,1,1,1
594,1.0,2,1,1,1
595,1.0,0,1,0,1
596,1.0,0,1,1,0
598,1.0,0,1,1,1
599,1.0,2,1,1,1
602,1.0,2,1,1,1
603,1.0,0,1,0,1
604,1.0,1,0,1,1
605,1.0,2,1,1,0
606,1.0,1,1,1,1
607,1.0,0,1,1,1
608,1.0,0,1,1,1
609,1.0,0,0,0,1
610,1.0,0,1,1,1
611,1.0,2,1,1,1
612,1.0,2,1,1,1
613,0.0,1,0,0,0
